연번,등급 인정처,호텔업 구분,결정 등급,등급 결정일,지역,호텔명,객실수,주소,전화번호,홈페이지
12,한국관광협회중앙회,관광호텔업,4성,2026-05-18,경기,호텔스퀘어,201,경기도 안산시 단원구 동산로 81,031-490-2000,http://www.hotelsquare.co.kr/
13,한국관광협회중앙회,관광호텔업,5성,2026-05-18,인천,하얏트리젠시인천파라다이스시티,501,인천광역시 중구 영종해안남로321번길 190,없음,http://www.grandhyattincheon.com
14,한국관광협회중앙회,관광호텔업,2성,2026-05-15,서울,호텔 스카이파크Ⅲ,136,서울특별시 중구 퇴계로 139,02-6900-9311,http://www.skyparkhotel.com
15,한국관광협회중앙회,관광호텔업,3성,2026-05-15,서울,호텔 엠펠리체,118,서울특별시 강서구 마곡동로4길 15,02-2668-3600,http://www.hotelmfelice.com/
16,한국관광협회중앙회,관광호텔업,2성,2026-05-14,서울,주식회사 에스알호텔,61,서울특별시 동작구 동작대로1길 15,02-588-2000,https://www.hotel-sr.com/
17,한국관광협회중앙회,관광호텔업,3성,2026-05-13,부산,게스후,55,부산 수영구 광안해변로 181,051-791-1255,http://www.hotelguesswho.com
18,한국관광협회중앙회,관광호텔업,2성,2026-05-12,광주,(주)엠파이어관광호텔,43,광주광역시 광산구 임방울대로800번길 25,062-962-2000,http://www.empirehotel.co.kr
19,한국관광협회중앙회,관광호텔업,3성,2026-05-12,서울,써미트호텔,190,서울특별시 중구 장충단로 198,02-2285-0540,http://www.summithotelseoul.com
20,한국관광협회중앙회,관광호텔업,4성,2026-05-12,서울,코리아나호텔,285,서울특별시 중구 세종대로 135,02-2171-7000,http://www.koreanahotel.com
21,한국관광협회중앙회,관광호텔업,4성,2026-05-12,부산,(주)코모도호텔,311,부산광역시 중구 중구로 151,051-461-9101,https://www.commodore.co.kr
22,한국관광협회중앙회,관광호텔업,1성,2026-05-11,서울,호텔 디 아티스트 역삼,50,서울특별시강남구테헤란로29길11,02-569-4920,https://theartisthotel.modoo.at
23,한국관광협회중앙회,관광호텔업,1성,2026-05-11,인천,VOW관광호텔,71,인천광역시계양구계양문화로59번길9,032-545-1111,http://www.hotelvow.com
24,한국관광협회중앙회,관광호텔업,3성,2026-05-08,경남,토요코인 창원 ,339,경상남도 창원시 성산구 중앙대로 93,055-282-1045,http://www.toyoko-inn.co.kr/
25,한국관광협회중앙회,한국전통호텔업,5성,2026-05-08,인천,경원재 바이 워커힐,30,인천광역시 연수구 테크노파크로 200,032-729-1101,https://www.gwjbywalkerhill.com/
26,한국관광협회중앙회,관광호텔업,1성,2026-05-07,전남,프린스행복호텔,58,전라남도 강진군 강진읍 보은로 113-1,061-433-7300,http://princehappyhotel.co.kr
27,한국관광협회중앙회,관광호텔업,2성,2026-05-07,서울,가락관광호텔,71,서울특별시 송파구 송파대로28길5,02-400-6641,http://www.hotelkarak.com
28,한국관광협회중앙회,관광호텔업,3성,2026-05-06,서울,신라스테이,309,서울특별시 동작구 시흥대로 596,02-2162-9102,http://www.shillastay.com
29,한국관광협회중앙회,관광호텔업,3성,2026-05-06,경북,씨엠파크호텔 주식회사,62,경상북도 안동시 풍천면 검무로 10-17,054-853-7800,http://www.cmparkhotel.com
30,한국관광협회중앙회,관광호텔업,4성,2026-05-06,전남,여수베네치아호텔앤스위트,343,전남 여수시 오동도로 61-13,061-664-0001,www.yeosuvenezia.com
31,한국관광협회중앙회,관광호텔업,4성,2026-05-06,경북,(주) 호텔금오산,130,경상북도 구미시 금오산로 400,054-450-4000,https://www.hotelgeumosan.com/
32,한국관광협회중앙회,관광호텔업,3성,2026-05-04,서울,강남 스테이 호텔,52,서울특별시 강남구 논현로87길 15-4,02-568-6200,http://www.stayhotel.com
33,한국관광협회중앙회,관광호텔업,3성,2026-05-04,인천,파크마린호텔,88,인천광역시 남동구 소래역로 44,032-425-2700,http://www.parkmarinehotel.co.kr/ko/
34,한국관광협회중앙회,관광호텔업,3성,2026-05-04,전남,호텔써던힐,74,전남 해남군 해남읍 교육청길 38,061-532-0100,http://www.southernheal.com
35,한국관광협회중앙회,관광호텔업,2성,2026-05-03,경남,호텔 라온,34,경상남도 함양군 함양읍 함양로 1148-2,055-962-1234,http://raonhotel.modoo.at/
36,한국관광협회중앙회,관광호텔업,3성,2026-05-03,충북,수안보상록호텔,101,충청북도 충주시 수안보면 주정산로 22,043-880-3730,http://sangnokresort.co.kr
37,한국관광협회중앙회,관광호텔업,4성,2026-05-03,서울,호텔 PJ,272,서울특별시 중구 마른내로 71,02-2280-7000,http://www.hotelpj.co.kr
38,한국관광협회중앙회,관광호텔업,3성,2026-04-27,서울,뉴블랑 센트럴 명동 호텔,182,서울 중구 창경궁로 20,1533-7220,newblanchotel.com
39,한국관광협회중앙회,관광호텔업,1성,2026-04-24,경북,호텔 오푸스,40,경북 경주시 천북면 천강로 166-25,없음,http://hotelopus.kr/
40,한국관광협회중앙회,관광호텔업,2성,2026-04-24,울산,울산시티호텔,90,울산광역시 남구 삼산로 246,052-240-2024,http://ulsancityhotel.co.kr/
41,한국관광협회중앙회,관광호텔업,3성,2026-04-22,서울,트레블로지 동대문 호텔,242,서울특별시 중구 동호로 359,02-2160-8888,http://www.travelodgehotels.asia
42,한국관광협회중앙회,관광호텔업,3성,2026-04-22,경기,베니키아 더에이치 호텔,90,경기도 화성시 남양읍 역골로 3-12,031-350-6200,http://www.thehhotel.co.kr
43,한국관광협회중앙회,관광호텔업,3성,2026-04-22,강원,(주)오키드호텔,85,강원도 원주시 봉화로 26,033-901-3000,http://www.orchidhotel.co.kr
44,한국관광협회중앙회,관광호텔업,4성,2026-04-22,강원,소노벨타워D비발디파크,79,강원도 홍천군 서면 한치골길 262,033-439-7771,https://www.sonohotelsresorts.com/daemyung.vp.accomodation.01_09_01.ds/dmparse.dm
45,한국관광협회중앙회,가족호텔업,3성,2026-04-22,강원,더케이호텔앤리조트(주) 더케이설악산가족호텔,76,강원도 속초시 설악산로 470-7,033-639-8100,https://www.thek-hotel.co.kr/srmh/
46,한국관광협회중앙회,관광호텔업,3성,2026-04-21,서울,메이플레이스 호텔 서울 동대문,105,서울특별시종로구 율곡로 179,02-742-8080,www.mayplace.co.kr
47,한국관광협회중앙회,관광호텔업,3성,2026-04-21,경남,호텔리베라 거제,138,경남 거제시 일운면 거제대로 2190,055-730-5000,http://www.hotelriviera.co.kr/geoje/main/main.asp
48,한국관광협회중앙회,관광호텔업,3성,2026-04-20,대구,에이시티 관광호텔,80,대구광역시 수성구 알파시티1로32길 28-17,053-793-0000,http://www.acthotel.co.kr
49,한국관광협회중앙회,관광호텔업,5성,2026-04-20,인천,파라다이스시티,769,인천광역시 중구 영종해안남로321번길 186,032-729-2000,https://www.p-city.com/
50,한국관광협회중앙회,가족호텔업,2성,2026-04-20,전북,나봄리조트(주),51,전북특별자치도 무주군 설천면 월곡길 45,063-322-6400,http://www.nabomresort.com/
51,한국관광협회중앙회,관광호텔업,2성,2026-04-19,서울,스카이파크호텔 동대문1호점,254,서울특별시 중구 동호로 335,02-2264-2200,http://www.skyparkhotel.com
52,한국관광협회중앙회,관광호텔업,3성,2026-04-19,서울,나인트리 바이 파르나스 서울 동대문,219,서울특별시 중구 을지로 224,02-6926-4099,http://www.ninetreehotels.com/nth4
53,한국관광협회중앙회,관광호텔업,3성,2026-04-17,서울,신라스테이 마포,382,서울특별시 마포구 마포대로 83,02-6979-9000,http://www.shillastay.com
54,한국관광협회중앙회,관광호텔업,4성,2026-04-13,인천,베스트웨스턴인천에어포트호텔,305,인천광역시 중구 공항로424번길 48-27,032-7431-000,http://www.airporthotel.co.kr
55,한국관광협회중앙회,관광호텔업,5성,2026-04-13,서울,호텔 나루,196,서울특별시 마포구 마포대로 8,02-6410-1000,http://www.hotelnaruseoul.com
56,한국관광협회중앙회,관광호텔업,1성,2026-04-09,경기,해시호텔,46,경기도 수원시 팔달구 갓매산로 72-1,031-251-8881,hashhotel@naver.com
57,한국관광협회중앙회,관광호텔업,2성,2026-04-09,서울,하모니 관광호텔,81,서울특별시 강동구 천중로40길 63,02-485-8525,http://www.harmonyhotel.co.kr
58,한국관광협회중앙회,관광호텔업,3성,2026-04-09,서울,사보이호텔,105,서울특별시 중구 명동8나길 10,02-772-7700,http://www.savoyhotel.co.kr
59,한국관광협회중앙회,관광호텔업,3성,2026-04-09,전남,호텔 울돌소리,32,전남 해남군 문내면 관광레저로 12-36,061-532-7900,www.uldolsori-hotel.com
60,한국관광협회중앙회,관광호텔업,2성,2026-04-08,전남,센텀관광호텔,42,전남 무안군 삼향읍 남악로250번길 59-24,061-801-5022,hanuriland@naver.com
61,한국관광협회중앙회,관광호텔업,2성,2026-04-06,부산,오션더포인트호텔,45,부산광역시 수영구 광안해변로278번길 42,051-929-8600,https://oceanthepoint.co.kr/
62,한국관광협회중앙회,관광호텔업,2성,2026-04-06,대구,하운드호텔 대구혁신점 ,54,대구 동구 율암로 168,없음,houndhotel506
63,한국관광협회중앙회,관광호텔업,2성,2026-04-06,경기,그린피아 관광호텔,52,경기도 화성시 세자로 438,031-225-3366,http://www.greenpiahotel.com
64,한국관광협회중앙회,관광호텔업,3성,2026-04-06,경북,포항 하운드 호텔 송도해수욕장점,72,경북 포항시 남구 송도해안길 58,없음,http://houndhotel-pohang.com/
65,한국관광협회중앙회,관광호텔업,5성,2026-04-06,서울,콘래드 서울 호텔,434,서울특별시 영등포구 국제금융로 10,02-6137-7000,http://www.conradseoul.co.kr/
66,한국관광협회중앙회,관광호텔업,2성,2026-04-05,서울,토요코인 서울 동대문 Ⅱ,203,서울특별시 중구 퇴계로 325,02-2272-1045,https://www.toyoko-inn.com/korea/search/detail/00291
67,한국관광협회중앙회,관광호텔업,2성,2026-04-01,서울,동대문 시그니처 관광호텔,67,서울 동대문구 장한로21길 8,02-2216-2789,없음
68,한국관광협회중앙회,관광호텔업,2성,2026-04-01,전남,바반트 관광호텔,62,전남 목포시 북항로 149,061-245-0007,www.hotelvavant.co.kr
69,한국관광협회중앙회,관광호텔업,3성,2026-04-01,전남,(주)샹그리아비치호텔,75,전라남도 목포시 평화로 79,061-285-0100,http://www.shangriahotel.co.kr
70,한국관광협회중앙회,관광호텔업,3성,2026-04-01,경북,(주)구미센츄리호텔,131,경상북도 구미시 3공단1로 296,054-478-0100,http://www.gumicentury.co.kr
71,한국관광협회중앙회,관광호텔업,3성,2026-03-30,서울,호텔 국도,295,서울특별시 중구 을지로 164,02-6466-1234,http://www.hotelkukdo.com
72,한국관광협회중앙회,관광호텔업,5성,2026-03-30,부산,호텔농심,238,부산광역시 동래구 금강공원로20번길 23,051-550-2100,https://www.hotelnongshim.com/kr/
73,한국관광협회중앙회,관광호텔업,2성,2026-03-27,경남,진주KAI관광호텔,43,경상남도 진주시 정촌면 화개천로 132-14,055-756-9200,http://www.jinjukai.co.kr
74,한국관광협회중앙회,관광호텔업,5성,2026-03-27,서울,안다즈 서울 강남,241,서울특별시 강남구 논현로 854,02-2193-1234,http:// http://www.hyatt.com/ko-KR/hotel/south-korea/andaz-seoul-gangnam/selaz
75,한국관광협회중앙회,관광호텔업,2성,2026-03-26,울산,바이브 호텔,65,울산 북구 매산2로 44,052-282-5812,http://sites.google.com/view/vibehotelulsan1
76,한국관광협회중앙회,관광호텔업,3성,2026-03-23,서울,나인트리 바이 파르나스 서울 명동2,408,서울특별시 중구 마른내로 28,02-6967-0999,http://www.ninetreehotel.com/ntm2
77,한국관광협회중앙회,관광호텔업,3성,2026-03-23,전남,오션힐호텔,56,전남 여수시 돌산읍 강남해안로 81,061-640-5621,https://www.oceanhillhotel.co.kr/
78,한국관광협회중앙회,가족호텔업,5성,2026-03-21,서울,메리엇 이그제큐티브 아파트먼트 서울,94,서울특별시 영등포구 여의대로8,02-2090-8000,http://www.marriott.com/seler
79,한국관광협회중앙회,관광호텔업,1성,2026-03-20,서울,더 제리스 플래닛 호텔,42,서울특별시 강남구 강남대로92길 13,02-555-4204,http://www.jerrysplanet.com
80,한국관광협회중앙회,관광호텔업,2성,2026-03-20,울산,토요코인 울산삼산동,281,울산광역시 남구 삼산로 308,052-257-1045,https://www.toyoko-inn.com/korea/search/detail/00310
81,한국관광협회중앙회,관광호텔업,2성,2026-03-19,부산,H-에비뉴 광안리해변점,34,부산광역시 수영구 광안해변로278번길 42,051-751-5858,http://www.havenuebeach.com/
82,한국관광협회중앙회,관광호텔업,2성,2026-03-18,서울,맹그로브 동대문,177,서울특별시 중구 퇴계로 334,없음,https://mangrove.city/locations/dongdaemun
83,한국관광협회중앙회,관광호텔업,2성,2026-03-18,부산,주식회사 시티호텔,82,부산광역시 동구 중앙대로 294,051-467-7700,시티호텔.com
84,한국관광협회중앙회,관광호텔업,2성,2026-03-18,울산,판도라 호텔,70,울산광역시 남구 삼산로392번길 8,052-716-2553,http://www.dailyhotel.co.kr 
85,한국관광협회중앙회,관광호텔업,3성,2026-03-18,부산,스탠포드호텔 부산,132,부산광역시 중구 구덕로 53,051-795-7700,http://www.stanfordbusan.com/
86,한국관광협회중앙회,관광호텔업,4성,2026-03-18,울산,머큐어 앰배서더 호텔 울산,131,울산광역시 북구 강동산하2로 7,052-980-1101,https://www.ambatel.com/mercure/ulsan/ko/main.do
87,한국관광협회중앙회,관광호텔업,2성,2026-03-16,서울,호텔 디아망,50,서울특별시 강서구 남부순환로 190,02-2666-0157,http://www.hoteldiamant.co.kr
88,한국관광협회중앙회,관광호텔업,2성,2026-03-16,경기,호텔 이쁘다,42,경기도 양주시 옥정동로7다길 88,031-857-9601,https://litt.ly/yangju_ippda
89,한국관광협회중앙회,관광호텔업,3성,2026-03-16,서울,서울 프린스 관광호텔,100,서울특별시 중구 퇴계로 130,02-752-7111,https://hotelprinceseoul.co.kr/
90,한국관광협회중앙회,관광호텔업,3성,2026-03-16,부산,아르반시티 호텔,137,부산광역시 연제구 반송로 20,051-851-9949,https://www.daolbooking.com/jsp/rs/selectRm.jsppropCd=0000000103&cmpxCd=00002
91,한국관광협회중앙회,관광호텔업,3성,2026-03-16,경기,호텔 라뷔포레,45,경기도 수원시 팔달구 권광로134번길 44-11,031-224-1100,http://www.hotel-ritz.co.kr/
92,한국관광협회중앙회,소형호텔업,1성,2026-03-16,서울,에이원호텔,21,서울특별시 용산구 이태원로20길 2-8,02-795-5997,https://sites.google.com/view/aonehotel/%ED%99%88
93,한국관광협회중앙회,관광호텔업,3성,2026-03-13,서울,나인브릭,94,서울특별시 마포구 홍익로5길 32,02-3141-8800,http://www.9brickhotel.com
94,한국관광협회중앙회,관광호텔업,2성,2026-03-12,부산,토요코인 부산서면,299,부산광역시 부산진구 서전로 39,051-638-1045,http://www.toyoko-inn.com
95,한국관광협회중앙회,관광호텔업,1성,2026-03-10,서울,호텔어반,51,서울특별시 관악구 난곡로64길 5,02-862-6664,https://urbanhotelgolf.modoo.at
96,한국관광협회중앙회,관광호텔업,3성,2026-03-06,부산,부산시티호텔,122,부산광역시 연제구 신촌로 19,051-851-1122,http://www.busancityhotel.com
97,한국관광협회중앙회,관광호텔업,2성,2026-03-04,부산,토요코인 부산 해운대-Ⅱ,442,부산광역시 해운대구 해운대해변로237번길 5,051-741-1045,http://www.toyoko-inn.co.kr
98,한국관광협회중앙회,관광호텔업,2성,2026-03-04,전남,나르샤관광호텔,48,전라남도 여수시 시청서6길 3,061-686-2000,http://www.narshahotel.com
99,한국관광협회중앙회,관광호텔업,4성,2026-03-04,서울,아난티 앳 강남,111,서울특별시 강남구 논현로 734,02-2190-4000,https://ananti.kr/ko/ganm
100,한국관광협회중앙회,관광호텔업,2성,2026-03-03,부산,올라호텔,42,부산광역시 해운대구 송정광어골로 49,051-704-0001,http://www.ollahotel.com
101,한국관광협회중앙회,관광호텔업,2성,2026-03-03,부산,브라운도트호텔 하단점,51,부산광역시 사하구 낙동남로1423번길 47,051-201-3994,https://blog.naver.com/oes907349
102,한국관광협회중앙회,관광호텔업,2성,2026-03-03,경남,바이브호텔 거제고현점,70,경남 거제시 거제중앙로23길 9,055-73-63901,https://vibe2402.my.canva.site/
103,한국관광협회중앙회,관광호텔업,3성,2026-03-03,울산,(주)호텔롯데 롯데시티호텔울산,350,울산광역시 남구 삼산로 204,052-990-1000,https://www.lottehotel.com/ulsan-city/ko.html
104,한국관광협회중앙회,관광호텔업,5성,2026-03-02,인천,그랜드하얏트인천 이스트타워,523,인천광역시 중구 영종해안남로321번길 190,032-745-1234,http://incheon.grand@hyatt.com
105,한국관광협회중앙회,관광호텔업,2성,2026-02-27,서울,호텔 크레토,35,서울특별시 중구 명동8가길 53,02-740-4500,http://www.hotelcreto.com
106,한국관광협회중앙회,관광호텔업,2성,2026-02-27,부산,사우스반데코 호텔,56,부산광역시 부산진구 서면로 6,051-815-5252,https://southvandeco.imweb.me/
107,한국관광협회중앙회,관광호텔업,3성,2026-02-27,서울,에스알 호텔,82,서울특별시 강서구 강서로 400,02-2038-8000,http://hotel-sr.co.kr
108,한국관광협회중앙회,관광호텔업,3성,2026-02-27,서울,라마다 서울 동대문 호텔(정광피엔아이 주식회사),197,서울특별시 중구 동호로 354,02-2276-3500,http://www.ramadaddm.com
109,한국관광협회중앙회,관광호텔업,4성,2026-02-27,경기,코트야드 바이 메리어트 평택,230,경기 평택시 고덕면 첨단대로 110,031-611-3000,www.marriott.com/cjjpy
110,한국관광협회중앙회,관광호텔업,2성,2026-02-25,강원,인제관광호텔,70,강원특별자치도 인제군 북면 고원통로 107,033-462-9260,http://www.인제관광호텔.com/
111,한국관광협회중앙회,관광호텔업,2성,2026-02-25,강원,퍼시먼관광호텔,56,강원특별자치도 정선군 남면 무릉4로 2,033-592-8911,persimmon8911@gmail.com
112,한국관광협회중앙회,소형호텔업,2성,2026-02-25,울산,더뱀부호텔,20,울산 울주군 상북면 알프스온천4길 16,052-264-4900,youngnamalps.com
113,한국관광협회중앙회,관광호텔업,1성,2026-02-23,경남,브라운도트호텔 양산서창점,42,경상남도 양산시 삼호로 197-16,055-785-0027,https://naver.me/FQVnKLH3
114,한국관광협회중앙회,관광호텔업,1성,2026-02-19,부산,Plaire(플레르) 관광호텔,48,부산광역시 해운대구 송정광어골로 70,051-701-7601,https://place-site.yanolja.com/places/26216rooms=1&checkinDate=2025-09-11&checkoutDate=2025-09-12&capacityAdult=2&capacityChild=0
115,한국관광협회중앙회,가족호텔업,3성,2026-02-19,서울,위브스위트-선유 파크사이드,157,서울 영등포구 양평로 132,없음,https://www.weave-living.com/kr
116,한국관광협회중앙회,관광호텔업,3성,2026-02-17,경북,경주지지관광호텔,53,경상북도 경주시 태종로699번길 3,054-701-0090,http://www.gghotel.co.kr/
117,한국관광협회중앙회,관광호텔업,3성,2026-02-16,서울,이비스 앰배서더 명동,279,서울특별시 중구 남대문로 78,02-6361-8888,ambatel.com/ibis/myeongdong
118,한국관광협회중앙회,관광호텔업,2성,2026-02-12,서울,호텔아벤트리여의도,90,서울특별시 영등포구 버드나루로 90,02-2678-8808,http://hotelaventreeyeouido.co.kr
119,한국관광협회중앙회,관광호텔업,2성,2026-02-12,울산,에이치호텔,44,울산광역시 남구 화합로178번길 7,052-271-9044,http://www.hhotelkorea.com/
120,한국관광협회중앙회,관광호텔업,5성,2026-02-11,서울,웨스틴 서울 파르나스,656,서울특별시 강남구 봉은사로 524,02-3452-2500,https://seoul.intercontinental.com/iccoex/
121,한국관광협회중앙회,관광호텔업,5성,2026-02-11,경남,쏠비치 남해,366,경남 남해군 미조면 쏠비치길 21,055-812-2000,https://www.sonohotelsresorts.com/solbeach_nh
122,한국관광협회중앙회,관광호텔업,2성,2026-02-06,인천,반도관광호텔,50,인천광역시 계양구 계양문화로17번길 8,032-551-5959,없음
123,한국관광협회중앙회,관광호텔업,4성,2026-02-06,서울,더 클래식 500 펜타즈,84,서울특별시 광진구 능동로 90,02-2218-5000,http://www.theclassic500.com
124,한국관광협회중앙회,관광호텔업,1성,2026-02-05,서울,이지갤러리 관광호텔,62,서울특별시 강서구 화곡로 327,02-2694-0707,https://naver.me/xwwgQu8b
125,한국관광협회중앙회,관광호텔업,1성,2026-02-05,인천,엠플레이스호텔,66,인천광역시 남동구 인하로507번길 56,03-2426-2500,http://hotelmplace.kr
126,한국관광협회중앙회,관광호텔업,1성,2026-02-05,충남,베니키아호텔,60,충청남도 보령시 머드로 137,041-933-4777,https://cheonanhotel.co.kr/
127,한국관광협회중앙회,관광호텔업,2성,2026-02-05,경북,비치호텔,42,경북 포항시 북구 해안로 105,054-255-3001,https://booking.naver.com/booking/3/bizes/1500450area=pll
128,한국관광협회중앙회,관광호텔업,3성,2026-02-03,서울,호텔 뉴브,150,서울특별시 강남구 선릉로85길 6,02-740-5000,http://www.newvhotel.com
129,한국관광협회중앙회,관광호텔업,3성,2026-01-27,서울,에이든 청담호텔,149,서울특별시 강남구 도산대로 216,02-6711-1234,http://www.aidencheongdam.com/
130,한국관광협회중앙회,가족호텔업,2성,2026-01-23,경남,부곡스파디움따오기호텔,82,경상남도 창녕군 부곡면 온천중앙로 42,055-530-3000,http://www.spadium.co.kr
131,한국관광협회중앙회,관광호텔업,2성,2026-01-22,전북,리츠프라자호텔,57,전라북도 군산시 한밭안길 30,063-468-4681,http://www.ritzplaza.co.kr
132,한국관광협회중앙회,관광호텔업,4성,2026-01-22,서울,(주)서부티엔디 이비스 스타일 앰배서더 서울 용산,581,서울특별시 용산구 청파로20길 95,02-2223-7000,https://www.seouldragoncity.com/web/kr/
133,한국관광협회중앙회,관광호텔업,4성,2026-01-20,서울,프레지던트호텔,271,서울특별시 중구 을지로 16,02-753-3131,https://www.hotelpresident.co.kr/main/
134,한국관광협회중앙회,관광호텔업,2성,2026-01-19,전남,정남진 골프리조트 관광호텔(주),46,전라남도 장흥군 장평면 제산기동로 326,061-860-9000,http://jnjgolfresort.co.kr
135,한국관광협회중앙회,관광호텔업,2성,2026-01-17,서울,제이베이 관광호텔,52,서울특별시 강북구 한천로140길 14,02-900-2220,http://jbayhotel.co.kr
136,한국관광협회중앙회,관광호텔업,3성,2026-01-15,서울,카파쓰 호텔,52,서울특별시 강남구 언주로89길 21,02-6205-3900,http://www.capace.co.kr
137,한국관광협회중앙회,관광호텔업,4성,2026-01-14,서울,글래드호텔앤리조트(주) 글래드호텔 여의도 ,319,서울특별시 영등포구 의사당대로 16,02-6222-5000,https://www.gladyeouido-hotels.com
138,한국관광협회중앙회,관광호텔업,4성,2026-01-14,서울,아만티 호텔 서울,150,서울특별시 마포구 월드컵북로 31,02-334-3111,http://www.hotelamanti.com
139,한국관광협회중앙회,관광호텔업,2성,2026-01-06,부산,토요코인 부산역1,357,부산광역시 동구 중앙대로196번길 12,051-466-1045,http://www.toyoko-inn.com
140,한국관광협회중앙회,관광호텔업,4성,2026-01-06,경기,라까사호텔 광명,194,경기도 광명시 일직로12번길 22,02-6711-9000,https://www.hotellacasa.kr
141,한국관광협회중앙회,관광호텔업,2성,2026-01-05,대전,호텔선샤인,55,대전광역시 동구 동서대로 1700,042-620-6500,http://www.hotelsunshine.kr/
142,한국관광협회중앙회,관광호텔업,2성,2026-01-05,경기,의정부 라트리 호텔(Uijeongbu La Tree Hotel),58,경기도 의정부시 청사로6번길 19-13,03-1843-5100,http://www.uijeongbu-latree.com
143,한국관광협회중앙회,관광호텔업,2성,2026-01-02,경기,호텔클로버,88,경기도 안산시 상록구 양지편로 22,031-417-9300,http://www.hotelclover.co.kr/
144,한국관광협회중앙회,소형호텔업,1성,2026-01-02,경기,호텔오이도,23,경기 시흥시 오이도로 249,없음,없음
145,한국관광협회중앙회,관광호텔업,4성,2025-12-30,서울,글래드호텔 마포,378,서울특별시 마포구 마포대로 92,02-2197-5000,https://gladmapo-hotels.com/
146,한국관광협회중앙회,관광호텔업,3성,2025-12-29,서울,나인트리 바이 파르나스 서울 명동1,144,서울특별시 중구 명동10길 51,02-750-0900,http://www.ninetreehotels.com/nth1
147,한국관광협회중앙회,관광호텔업,5성,2025-12-29,부산,(주)파라다이스호텔 부산,529,부산광역시 해운대구 해운대해변로 296,051-742-2121,https://www.busanparadisehotel.co.kr/front
148,한국관광협회중앙회,관광호텔업,3성,2025-12-28,서울,레이크호텔,94,서울특별시 송파구 석촌호수로 216,02-422-1001,www.hotellake.co.kr
149,한국관광협회중앙회,관광호텔업,4성,2025-12-28,경남,(주)호텔인터내셔널,121,경상남도 창원시 성산구 중앙대로 69,055-281-1001,https://www.hi1001.co.kr
150,한국관광협회중앙회,관광호텔업,2성,2025-12-27,서울,호텔티롤,83,서울특별시 서초구 나루터로 64,02-544-1004,http://www.hoteltirol.co.kr
151,한국관광협회중앙회,관광호텔업,3성,2025-12-27,서울,이비스 스타일 앰배서더 서울 명동,180,서울특별시 중구 삼일대로 302,02-6020-8888,https://www.ambatel.com/ibisstyles/myeongdong/ko/main.do
152,한국관광협회중앙회,관광호텔업,4성,2025-12-27,서울,코트야드 메리어트 서울 명동,400,서울특별시 중구 남대문로 9,02-2211-8000,https://www.marriott.co.kr/selsn
153,한국관광협회중앙회,관광호텔업,1성,2025-12-24,인천,블루마린호텔,51,인천광역시 중구 월미로234번길 12,032-765-7142,https://bymarinehotel.com
154,한국관광협회중앙회,관광호텔업,2성,2025-12-24,대구,브라운도트호텔 현풍점,60,대구광역시 달성군 현풍읍 테크노공원로 35,053-615-6789,https://worker-inn.web-dream.co.kr/
155,한국관광협회중앙회,가족호텔업,3성,2025-12-24,전북,(주) 무주덕유산리조트,974,전북특별자치도 무주군 설천면 만선로 185,063-322-9000,www.mdysresort.com
156,한국관광협회중앙회,관광호텔업,5성,2025-12-21,강원,하이원 그랜드호텔카지노,727,강원도 정선군 사북읍 하이원길 265,033-1588-7789,http://www.high1.com
